t_ms,ax,ay,az,gx,gy,gz,prox
85811,7.54,6.88,-2.15,-0.05,-0.06,0.01,69
86310,7.87,6.71,-2.28,-0.03,-0.04,0.02,69
86810,8.09,6.18,-2.32,-0.07,-0.05,0.27,69
87310,6.2,-0.72,-2.33,0.31,-0.24,4.01,74
87810,10.16,-0.92,-2.87,0.06,-0.05,-0.5,60
88310,10.1,1.2,-2.68,-0.08,-0.05,-0.34,60
88810,9.96,2.96,-2.82,-0.07,-0.09,-0.24,61
89310,9.49,4.01,-2.88,-0.08,-0.04,-0.41,62
89810,9.14,5.03,-2.83,-0.07,-0.05,-0.23,62
90310,8.62,5.66,-2.83,-0.08,-0.07,-0.27,62
90810,8.27,6.15,-2.83,-0.03,-0.06,-0.14,63
91310,8.23,6.27,-2.83,-0.05,-0.05,0.01,62
91810,8.46,5.8,-2.71,-0.01,0.02,0.03,61
92310,8.8,5.39,-2.79,0.03,-0.01,0.2,62
92810,7.2,1.55,-2.62,0.11,-0.01,1.88,58
93310,9.44,-0.48,-2.48,-0.14,0.05,-0.55,54
93810,10.32,1.9,-2.68,-0.13,-0.01,-0.28,52
94310,10.24,2.99,-2.86,-0.12,-0.11,-0.28,54
94810,9.57,4.0,-2.77,-0.14,-0.07,-0.33,56
95310,9.0,4.95,-2.66,-0.07,-0.08,-0.19,55
95810,8.72,5.54,-2.71,-0.07,-0.07,-0.15,56
96310,8.52,5.93,-2.59,-0.04,-0.05,-0.12,54
96810,8.22,6.24,-2.6,-0.03,-0.04,-0.11,55
97310,7.72,6.64,-2.69,-0.06,-0.04,-0.14,54
