t_ms,ax,ay,az,gx,gy,gz,prox
101312,5.25,8.7,-1.48,-0.03,-0.06,-0.04,75
101561,5.25,8.71,-1.47,-0.03,-0.06,-0.04,74
101811,5.18,8.79,-1.36,-0.06,-0.04,-0.04,76
102061,5.25,8.78,-1.56,-0.03,-0.07,-0.05,76
102311,5.28,8.68,-1.43,-0.03,-0.06,-0.05,77
102561,5.24,8.73,-1.46,-0.04,-0.07,-0.06,76
102811,5.19,8.73,-1.55,-0.04,-0.05,-0.06,86
103061,5.21,8.73,-1.45,-0.05,-0.08,-0.05,83
103311,5.3,8.69,-1.5,-0.05,-0.05,-0.05,80
103561,5.24,8.77,-1.54,-0.05,-0.04,-0.04,81
103811,5.24,8.75,-1.52,-0.04,-0.05,-0.04,80
104061,5.26,8.74,-1.56,-0.03,-0.05,-0.04,80
104311,5.25,8.81,-1.59,-0.06,-0.07,-0.05,79
104561,5.26,8.63,-1.68,-0.03,-0.05,-0.04,78
104811,5.29,8.77,-1.56,-0.04,-0.06,-0.05,77
105061,5.22,8.7,-1.46,-0.03,-0.05,-0.05,64
105311,5.29,8.71,-1.58,-0.04,-0.04,-0.05,63
105561,5.22,8.8,-1.53,-0.04,-0.06,-0.05,62
105811,5.21,8.68,-1.7,-0.04,-0.04,-0.05,62
106061,5.22,8.72,-1.64,-0.04,-0.06,-0.03,62
106311,5.26,8.82,-1.59,-0.04,-0.07,-0.06,61
106561,5.2,8.72,-1.54,-0.05,-0.05,-0.05,61
106811,5.32,8.67,-1.6,-0.03,-0.07,-0.05,61
107061,5.24,8.7,-1.59,-0.04,-0.05,-0.05,69
107311,5.2,8.81,-1.59,-0.04,-0.06,-0.05,69
107561,5.24,8.84,-1.64,-0.04,-0.05,-0.05,69
107811,5.2,8.77,-1.67,-0.05,-0.06,-0.04,69
108061,5.26,8.62,-1.59,-0.03,-0.05,-0.03,69
108311,5.15,8.74,-1.7,-0.03,-0.06,-0.05,69
108561,5.12,8.75,-1.7,-0.04,-0.05,-0.06,69
108811,5.21,8.74,-1.75,-0.05,-0.05,-0.04,66
109061,5.32,8.68,-1.71,-0.04,-0.07,-0.04,59
109311,5.24,8.77,-1.55,-0.04,-0.05,-0.04,59
109561,5.19,8.7,-1.67,-0.04,-0.06,-0.04,59
109811,5.21,8.81,-1.68,-0.04,-0.06,-0.05,58
110061,5.21,8.77,-1.64,-0.04,-0.06,-0.05,59
110311,5.23,8.76,-1.7,-0.04,-0.06,-0.03,59
110561,5.2,8.7,-1.75,-0.04,-0.06,-0.05,59
110811,5.16,8.78,-1.71,-0.04,-0.06,-0.04,67
111061,5.23,8.77,-1.74,-0.04,-0.06,-0.05,68
111311,5.2,8.71,-1.73,-0.03,-0.05,-0.04,67
111561,5.22,8.8,-1.79,-0.04,-0.07,-0.05,68
111811,5.27,8.79,-1.7,-0.04,-0.06,-0.05,68
112061,5.09,8.62,-1.67,-0.04,-0.05,-0.05,68
112311,5.23,8.81,-1.76,-0.04,-0.05,-0.04,67
112561,5.22,8.73,-1.68,-0.04,-0.05,-0.05,67
112811,5.21,8.69,-1.75,-0.05,-0.06,-0.04,66
113061,5.18,8.86,-1.68,-0.04,-0.05,-0.05,60
113311,5.18,8.74,-1.69,-0.04,-0.07,-0.05,59
