t_ms,ax,ay,az,gx,gy,gz,prox
27706,3.18,9.58,-2.2,-0.04,-0.06,-0.02,74
28205,3.09,9.61,-2.1,-0.05,-0.05,-0.06,74
28705,3.07,9.54,-2.13,-0.04,-0.05,-0.05,74
29205,3.06,9.56,-2.11,-0.04,-0.06,-0.04,74
29705,3.09,9.58,-2.19,-0.04,-0.06,-0.06,83
30205,3.04,9.58,-2.15,-0.04,-0.06,-0.04,81
30705,3.04,9.51,-2.08,-0.04,-0.03,-0.05,80
31205,3.02,9.56,-2.15,-0.04,-0.05,-0.05,80
31705,3.12,9.5,-2.19,-0.04,-0.06,-0.05,75
32205,3.1,9.53,-2.05,-0.04,-0.06,-0.04,66
32705,3.08,9.55,-2.08,-0.04,-0.05,-0.05,65
33205,2.96,9.63,-2.14,-0.04,-0.05,-0.05,67
33705,3.02,9.56,-2.04,-0.05,-0.06,-0.05,77
34205,3.0,9.58,-2.18,-0.04,-0.05,-0.05,76
34705,2.97,9.59,-2.1,-0.04,-0.06,-0.05,76
35205,3.0,9.54,-2.14,-0.04,-0.06,-0.06,65
35705,2.98,9.61,-2.05,-0.04,-0.05,-0.05,64
36205,2.93,9.64,-2.11,-0.05,-0.06,-0.06,65
36705,3.05,9.6,-2.11,-0.03,-0.06,-0.05,66
37205,3.02,9.59,-2.16,-0.04,-0.07,-0.06,66
37705,2.99,9.6,-2.06,-0.04,-0.05,-0.05,75
38205,2.89,9.59,-2.2,-0.05,-0.04,-0.05,76
38705,3.0,9.61,-2.07,-0.04,-0.05,-0.06,76
39205,3.09,9.63,-2.11,-0.04,-0.06,-0.06,76
39705,2.99,9.61,-1.98,-0.04,-0.07,-0.05,62
