t_ms,ax,ay,az,gx,gy,gz,prox
81987,5.85,8.38,-1.97,-0.04,-0.05,-0.05,79
82486,5.91,8.35,-1.95,-0.04,-0.05,-0.04,78
82986,5.83,8.43,-1.9,-0.05,-0.06,-0.05,77
83486,5.88,8.36,-1.9,-0.04,-0.05,-0.05,77
83986,5.83,8.37,-1.93,-0.04,-0.05,-0.04,78
84486,5.87,8.4,-2.01,-0.04,-0.06,-0.05,78
84986,5.91,8.41,-1.91,-0.04,-0.05,-0.05,78
85486,5.88,8.38,-1.89,-0.04,-0.06,-0.05,78
85986,5.82,8.4,-1.96,-0.04,-0.05,-0.05,78
86486,5.88,8.37,-1.97,-0.04,-0.06,-0.04,78
86986,5.81,8.38,-1.85,-0.05,-0.06,-0.03,79
87486,5.81,8.42,-1.94,-0.05,-0.06,-0.05,80
87986,5.78,8.4,-1.92,-0.04,-0.04,-0.05,79
88486,5.88,8.43,-1.86,-0.04,-0.06,-0.04,79
88986,5.88,8.44,-1.91,-0.04,-0.06,-0.05,79
89486,5.88,8.38,-1.95,-0.04,-0.06,-0.04,80
89986,5.84,8.41,-1.89,-0.04,-0.06,-0.05,79
90486,5.87,8.33,-1.92,-0.04,-0.06,-0.05,79
90986,5.9,8.43,-1.88,-0.04,-0.05,-0.04,79
91486,5.84,8.4,-1.92,-0.04,-0.05,-0.05,79
91986,5.78,8.43,-1.95,-0.04,-0.06,-0.04,79
92486,5.9,8.42,-1.89,-0.03,-0.06,-0.07,81
92986,5.98,8.4,-1.94,-0.05,-0.05,-0.04,81
93486,5.83,8.41,-1.84,-0.04,-0.06,-0.05,80
