t_ms,ax,ay,az,gx,gy,gz,prox
120896,4.11,9.25,-2.21,-0.04,-0.02,-0.07,81
121395,4.11,9.22,-2.2,-0.04,-0.05,-0.06,81
121895,3.97,9.26,-2.16,-0.04,-0.05,-0.05,81
122395,3.95,9.27,-2.25,-0.04,-0.06,-0.05,81
122895,4.02,9.24,-2.2,-0.05,-0.04,-0.06,90
123395,3.94,9.39,-2.11,-0.04,-0.06,-0.05,89
123895,3.9,9.3,-2.26,-0.04,-0.06,-0.04,88
124395,3.93,9.33,-2.18,-0.04,-0.05,-0.04,87
124895,3.9,9.36,-2.22,-0.05,-0.05,-0.04,88
125395,3.92,9.36,-2.17,-0.04,-0.07,-0.05,71
125895,3.85,9.36,-2.17,-0.03,-0.05,-0.05,72
126395,3.9,9.37,-2.12,-0.04,-0.07,-0.04,72
126895,3.81,9.33,-2.26,-0.04,-0.06,-0.06,82
127395,3.82,9.36,-2.19,-0.04,-0.06,-0.05,87
127895,3.8,9.39,-2.27,-0.04,-0.05,-0.05,89
128395,3.79,9.33,-2.18,-0.04,-0.07,-0.03,88
128895,3.82,9.44,-2.12,-0.05,-0.07,-0.05,86
129395,3.73,9.38,-2.14,-0.05,-0.06,-0.06,68
129895,3.69,9.41,-2.14,-0.05,-0.04,-0.05,69
130395,3.74,9.33,-2.21,-0.04,-0.05,-0.04,70
130895,3.66,9.39,-2.25,-0.05,-0.06,-0.04,85
131395,3.72,9.35,-2.32,-0.05,-0.05,-0.05,89
131895,3.71,9.41,-2.16,-0.04,-0.06,-0.05,91
132395,3.71,9.38,-2.2,-0.04,-0.05,-0.05,91
