t_ms,ax,ay,az,gx,gy,gz,prox
18938,9.29,4.71,-2.09,-0.04,-0.05,-0.04,66
19437,9.37,4.67,-2.1,-0.04,-0.07,-0.05,67
19937,9.4,4.69,-2.1,-0.05,-0.05,-0.03,67
20437,9.37,4.59,-2.19,-0.04,-0.04,-0.04,67
20937,9.19,4.26,-2.17,-0.01,-0.03,0.09,66
21437,19.61,-1.09,-3.97,-0.39,0.34,2.0,57
21937,10.17,2.65,-2.54,-0.09,0.05,-0.17,60
22437,9.58,4.27,-1.98,-0.01,-0.01,-0.3,60
22937,9.33,4.84,-1.92,-0.01,0.0,-0.12,61
23437,9.25,4.92,-1.86,-0.03,-0.06,-0.03,61
23937,9.19,4.91,-1.8,-0.04,-0.05,0.01,61
24437,9.54,4.7,-1.97,-0.04,-0.07,0.04,60
24937,9.37,3.93,-2.04,-0.01,-0.04,0.25,58
25437,10.32,-0.81,-3.55,0.25,-0.79,-2.39,54
25937,9.64,3.77,-2.19,-0.04,0.36,-0.37,53
26437,9.31,4.71,-1.84,-0.05,-0.12,-0.15,54
26937,9.21,4.98,-1.95,-0.03,-0.05,-0.09,55
27437,9.1,5.14,-1.9,-0.05,-0.08,-0.07,56
27937,9.07,5.19,-2.08,-0.03,-0.06,-0.05,56
28437,9.08,5.19,-2.05,-0.04,-0.06,-0.03,56
28937,9.05,5.19,-2.14,-0.02,-0.06,-0.04,54
29437,9.08,5.02,-1.98,-0.04,-0.07,-0.05,54
29937,9.08,5.11,-2.22,-0.04,-0.06,-0.06,55
30437,9.08,4.98,-2.18,-0.05,-0.05,-0.02,55
30937,10.15,7.09,2.29,0.77,2.84,-0.06,55
