t_ms,ax,ay,az,gx,gy,gz,prox
92495,3.45,9.36,-2.01,-0.04,-0.05,-0.03,65
92744,3.45,9.43,-2.02,-0.06,-0.05,-0.05,64
92994,3.54,9.49,-2.01,-0.03,-0.06,-0.04,64
93244,3.52,9.46,-2.02,-0.04,-0.05,-0.04,64
93494,3.58,9.43,-2.07,-0.05,-0.05,-0.04,64
93744,3.6,9.41,-1.89,-0.04,-0.07,-0.03,64
93994,3.64,9.45,-2.01,-0.03,-0.06,-0.04,64
94244,3.57,9.31,-1.9,-0.05,-0.05,-0.04,75
94494,3.76,9.45,-2.01,-0.04,-0.09,-0.04,71
94744,3.7,9.42,-2.04,-0.03,-0.06,-0.04,70
94994,3.63,9.35,-2.11,-0.06,-0.04,-0.06,70
95244,3.68,9.34,-1.99,-0.04,-0.06,-0.06,70
95494,3.66,9.45,-2.0,-0.05,-0.05,-0.05,69
95744,3.6,9.43,-2.07,-0.03,-0.05,-0.07,70
95994,3.64,9.42,-2.12,-0.03,-0.07,-0.05,70
96244,3.63,9.43,-2.02,-0.07,-0.05,-0.06,70
96494,3.32,9.41,-2.12,-0.03,-0.07,0.02,62
96744,4.18,9.35,-1.76,-0.08,-0.08,0.07,55
96994,3.79,9.34,-1.9,-0.03,-0.05,-0.1,54
97244,3.76,9.34,-1.95,-0.04,-0.09,-0.06,54
97494,3.83,9.53,-1.83,-0.06,-0.05,-0.03,53
97744,3.73,9.59,-1.99,-0.05,-0.09,-0.04,54
97994,3.76,9.33,-1.89,-0.04,-0.07,-0.06,54
98244,5.61,9.7,-1.24,-0.26,-0.14,0.77,84
98494,4.19,8.95,-1.91,-0.07,-0.07,-0.18,79
98744,4.41,9.12,-1.82,-0.04,-0.01,-0.05,77
98994,4.41,9.1,-1.94,-0.05,-0.06,-0.07,76
99244,4.41,9.09,-1.84,-0.03,-0.07,-0.05,78
99494,4.29,9.16,-1.87,-0.03,-0.05,-0.08,76
99744,4.22,9.19,-1.9,-0.05,-0.03,-0.08,77
99994,4.13,9.22,-1.89,-0.04,-0.06,-0.04,77
100244,4.12,9.33,-1.93,-0.04,-0.01,0.02,57
100494,4.49,9.31,-1.83,-0.04,-0.05,-0.03,57
100744,4.24,9.13,-1.87,-0.04,-0.06,-0.03,57
100994,4.15,9.15,-1.84,-0.05,-0.06,-0.05,57
101244,4.29,9.21,-1.81,-0.07,-0.06,-0.05,58
101494,4.28,9.21,-1.8,-0.04,-0.04,-0.06,59
101744,4.24,9.19,-1.79,-0.05,-0.04,-0.07,58
101994,4.18,9.27,-1.77,0.0,-0.08,-0.01,58
102244,4.28,9.14,-1.96,-0.05,-0.04,-0.07,68
102494,4.35,9.18,-1.79,-0.06,-0.06,-0.03,68
102744,4.17,9.22,-1.92,-0.01,-0.07,-0.05,71
102994,4.37,9.3,-1.79,-0.06,-0.06,-0.04,70
103244,4.26,9.24,-1.84,-0.01,-0.04,-0.04,71
103494,4.27,9.25,-1.88,-0.04,-0.06,-0.06,72
103744,4.25,9.2,-1.84,-0.03,-0.04,-0.05,71
103994,4.14,9.25,-1.85,-0.05,-0.07,-0.07,72
104244,4.31,9.28,-1.92,-0.06,-0.05,-0.03,63
104494,4.19,9.24,-1.9,-0.03,-0.05,-0.03,63
